 SOUID,    DATE,   FG, Q_FG
221729,19740802,   18,    0
221729,19740803,   24,    0
221729,19740804,   35,    0
221729,19740805,   25,    0
221729,19740806,   12,    0
221729,19740807,   23,    0
221729,19740808,   38,    0
221729,19740809,   40,    0
221729,19740810,   51,    0
221729,19740811,   50,    0
221729,19740812,   41,    0
221729,19740813,   15,    0
221729,19740814,   17,    0
221729,19740815,   26,    0
221729,19740816,   23,    0
221729,19740817,   20,    0
221729,19740818,    7,    0
221729,19740819,   27,    0
221729,19740820,   23,    0
221729,19740821,   20,    0
221729,19740822,   13,    0
221729,19740823,   17,    0
221729,19740824,   32,    0
221729,19740825,   36,    0
221729,19740826,   49,    0
221729,19740827,   53,    0
221729,19740828,   32,    0
221729,19740829,   33,    0
221729,19740830,   41,    0
221729,19740831,   38,    0
221729,19740901,   59,    0
221729,19740902,   63,    0
221729,19740903,   75,    0
221729,19740904,   69,    0
221729,19740905,   76,    0
221729,19740906,   68,    0
221729,19740907,   74,    0
221729,19740908,   67,    0
221729,19740909,   44,    0
221729,19740910,   40,    0
221729,19740911,   39,    0
221729,19740912,   38,    0
221729,19740913,   53,    0
221729,19740914,   27,    0
221729,19740915,   31,    0
221729,19740916,   28,    0
221729,19740917,   22,    0
221729,19740918,   47,    0
221729,19740919,   26,    0
221729,19740920,   38,    0
221729,19740921,   48,    0
221729,19740922,   69,    0
221729,19740923,   75,    0
221729,19740924,   80,    0
221729,19740925,   65,    0
221729,19740926,   56,    0
221729,19740927,   74,    0
221729,19740928,   70,    0
221729,19740929,   50,    0
221729,19740930,   35,    0
221729,19741001,   37,    0
221729,19741002,   41,    0
221729,19741003,   37,    0
221729,19741004,   72,    0
221729,19741005,   59,    0
221729,19741006,   57,    0
221729,19741007,   49,    0
221729,19741008,   41,    0
221729,19741009,   35,    0
221729,19741010,   43,    0
221729,19741011,   32,    0
221729,19741012,   40,    0
221729,19741013,   46,    0
221729,19741014,   13,    0
221729,19741015,   10,    0
221729,19741016,   26,    0
221729,19741017,   13,    0
221729,19741018,   41,    0
221729,19741019,   48,    0
221729,19741020,   31,    0
221729,19741021,   32,    0
221729,19741022,   40,    0
221729,19741023,   47,    0
221729,19741024,   26,    0
221729,19741025,   43,    0
221729,19741026,   40,    0
221729,19741027,   61,    0
221729,19741028,   66,    0
221729,19741029,   38,    0
221729,19741030,   30,    0
221729,19741031,   19,    0
221729,19741101,   27,    0
221729,19741102,   25,    0
221729,19741103,   32,    0
221729,19741104,   27,    0
221729,19741105,   29,    0
221729,19741106,    9,    0
221729,19741107,   19,    0
221729,19741108,   40,    0
221729,19741109,   53,    0
221729,19741110,   48,    0
221729,19741111,   69,    0
221729,19741112,   58,    0
221729,19741113,   49,    0
221729,19741114,   81,    0
221729,19741115,   50,    0
221729,19741116,   51,    0
221729,19741117,   37,    0
221729,19741118,   48,    0
221729,19741119,   49,    0
221729,19741120,   32,    0
221729,19741121,   37,    0
221729,19741122,   57,    0
221729,19741123,   34,    0
221729,19741124,   44,    0
221729,19741125,   68,    0
221729,19741126,   49,    0
221729,19741127,   58,    0
221729,19741128,   80,    0
221729,19741129,   55,    0
221729,19741130,   47,    0
221729,19741201,   55,    0
221729,19741202,   62,    0
221729,19741203,   43,    0
221729,19741204,   50,    0
221729,19741205,   64,    0
221729,19741206,   45,    0
221729,19741207,   49,    0
221729,19741208,   42,    0
221729,19741209,   44,    0
221729,19741210,   60,    0
221729,19741211,   73,    0
221729,19741212,   56,    0
221729,19741213,   41,    0
221729,19741214,   55,    0
221729,19741215,   38,    0
221729,19741216,   62,    0
221729,19741217,   86,    0
221729,19741218,   81,    0
221729,19741219,   43,    0
221729,19741220,   74,    0
221729,19741221,   55,    0
221729,19741222,   54,    0
221729,19741223,   41,    0
221729,19741224,   56,    0
221729,19741225,   59,    0
221729,19741226,   85,    0
221729,19741227,   75,    0
221729,19741228,   81,    0
221729,19741229,   85,    0
221729,19741230,   41,    0
221729,19741231,   49,    0
221729,19750101,   39,    0
221729,19750102,   19,    0
221729,19750103,   29,    0
221729,19750104,   43,    0
221729,19750105,   63,    0
221729,19750106,   77,    0
221729,19750107,   59,    0
221729,19750108,   30,    0
221729,19750109,   39,    0
221729,19750110,   35,    0
221729,19750111,   55,    0
221729,19750112,   57,    0
221729,19750113,   42,    0
221729,19750114,   65,    0
221729,19750115,   65,    0
221729,19750116,   65,    0
221729,19750117,   67,    0
221729,19750118,   35,    0
221729,19750119,   35,    0
221729,19750120,   48,    0
221729,19750121,   59,    0
221729,19750122,   72,    0
221729,19750123,   67,    0
221729,19750124,   55,    0
221729,19750125,   65,    0
221729,19750126,   42,    0
221729,19750127,   70,    0
221729,19750128,   58,    0
221729,19750129,   43,    0
221729,19750130,   46,    0
221729,19750131,   51,    0
221729,19750201,   33,    0
221729,19750202,   11,    0
221729,19750203,   47,    0
221729,19750204,   54,    0
221729,19750205,   38,    0
221729,19750206,   13,    0
221729,19750207,   19,    0
221729,19750208,   29,    0
221729,19750209,   29,    0
221729,19750210,   37,    0
221729,19750211,   28,    0
221729,19750212,   34,    0
221729,19750213,   50,    0
221729,19750214,   40,    0
221729,19750215,   20,    0
221729,19750216,   33,    0
221729,19750217,   47,    0
221729,19750218,   25,    0
221729,19750219,   49,    0
221729,19750220,   24,    0
221729,19750221,   31,    0
221729,19750222,   29,    0
221729,19750223,   25,    0
221729,19750224,   20,    0
221729,19750225,   41,    0
221729,19750226,   35,    0
221729,19750227,   24,    0
221729,19750228,   22,    0
221729,19750301,   33,    0
221729,19750302,   42,    0
221729,19750303,   43,    0
221729,19750304,   26,    0
221729,19750305,   35,    0
221729,19750306,   33,    0
221729,19750307,   44,    0
221729,19750308,   38,    0
221729,19750309,   30,    0
221729,19750310,   27,    0
221729,19750311,   22,    0
221729,19750312,   35,    0
221729,19750313,   40,    0
221729,19750314,   20,    0
221729,19750315,   25,    0
221729,19750316,   29,    0
221729,19750317,   39,    0
221729,19750318,   75,    0
221729,19750319,   74,    0
221729,19750320,   38,    0
221729,19750321,   22,    0
221729,19750322,   38,    0
221729,19750323,   23,    0
221729,19750324,   46,    0
221729,19750325,   39,    0
221729,19750326,   47,    0
221729,19750327,   29,    0
221729,19750328,   40,    0
221729,19750329,   47,    0
221729,19750330,   32,    0
221729,19750331,   26,    0
221729,19750401,   28,    0
221729,19750402,   47,    0
221729,19750403,   27,    0
221729,19750404,   28,    0
221729,19750405,   25,    0
221729,19750406,   21,    0
221729,19750407,   54,    0
221729,19750408,   58,    0
221729,19750409,   42,    0
221729,19750410,   26,    0
221729,19750411,   30,    0
221729,19750412,   43,    0
221729,19750413,   30,    0
221729,19750414,   47,    0
221729,19750415,   52,    0
221729,19750416,   37,    0
221729,19750417,   26,    0
221729,19750418,   32,    0
221729,19750419,   36,    0
221729,19750420,   25,    0
221729,19750421,   23,    0
221729,19750422,   25,    0
221729,19750423,   40,    0
221729,19750424,   40,    0
221729,19750425,   47,    0
221729,19750426,   34,    0
221729,19750427,   17,    0
221729,19750428,   14,    0
221729,19750429,   49,    0
221729,19750430,   46,    0
221729,19750501,   48,    0
221729,19750502,   49,    0
221729,19750503,   45,    0
221729,19750504,   49,    0
221729,19750505,   69,    0
221729,19750506,   59,    0
221729,19750507,   46,    0
221729,19750508,   35,    0
221729,19750509,   31,    0
221729,19750510,   39,    0
221729,19750511,   40,    0
221729,19750512,   25,    0
221729,19750513,   38,    0
221729,19750514,   32,    0
221729,19750515,   15,    0
221729,19750516,   34,    0
221729,19750517,   35,    0
221729,19750518,   30,    0
221729,19750519,   26,    0
221729,19750520,   30,    0
221729,19750521,   35,    0
221729,19750522,   34,    0
221729,19750523,   32,    0
221729,19750524,   23,    0
221729,19750525,   34,    0
221729,19750526,   51,    0
221729,19750527,   49,    0
221729,19750528,   28,    0
221729,19750529,   37,    0
221729,19750530,   39,    0
221729,19750531,-9999,    9
221729,19750601,   22,    0
221729,19750602,   57,    0
221729,19750603,   75,    0
221729,19750604,   43,    0
221729,19750605,   39,    0
221729,19750606,   41,    0
221729,19750607,   47,    0
221729,19750608,   44,    0
221729,19750609,   44,    0
221729,19750610,   31,    0
221729,19750611,   37,    0
221729,19750612,   29,    0
221729,19750613,   19,    0
221729,19750614,   27,    0
221729,19750615,   25,    0
221729,19750616,   34,    0
221729,19750617,   24,    0
221729,19750618,   30,    0
221729,19750619,   15,    0
221729,19750620,   24,    0
221729,19750621,   31,    0
221729,19750622,   28,    0
221729,19750623,   27,    0
221729,19750624,   26,    0
221729,19750625,   49,    0
221729,19750626,   35,    0
221729,19750627,   58,    0
221729,19750628,   55,    0
221729,19750629,   39,    0
221729,19750630,   54,    0
221729,19750701,   41,    0
221729,19750702,   37,    0
221729,19750703,   54,    0
221729,19750704,   67,    0
221729,19750705,   58,    0
221729,19750706,   34,    0
221729,19750707,   45,    0
221729,19750708,   50,    0
221729,19750709,   45,    0
221729,19750710,   44,    0
221729,19750711,   41,    0
221729,19750712,   49,    0
221729,19750713,   46,    0
221729,19750714,   62,    0
221729,19750715,   64,    0
221729,19750716,   66,    0
221729,19750717,   32,    0
221729,19750718,   43,    0
221729,19750719,   60,    0
221729,19750720,   58,    0
221729,19750721,   51,    0
221729,19750722,   55,    0
221729,19750723,   71,    0
221729,19750724,   77,    0
221729,19750725,   59,    0
221729,19750726,   26,    0
221729,19750727,   13,    0
221729,19750728,   18,    0
221729,19750729,   15,    0
221729,19750730,   13,    0
221729,19750731,   20,    0
221729,19750801,   40,    0
221729,19750802,   27,    0
221729,19750803,   29,    0
221729,19750804,   38,    0
221729,19750805,   41,    0
221729,19750806,   32,    0
221729,19750807,   39,    0
221729,19750808,   42,    0
221729,19750809,   35,    0
221729,19750810,   41,    0
221729,19750811,   25,    0
221729,19750812,   26,    0
221729,19750813,   20,    0
221729,19750814,   13,    0
221729,19750815,   59,    0
221729,19750816,   64,    0
221729,19750817,   39,    0
221729,19750818,   19,    0
221729,19750819,   32,    0
221729,19750820,   47,    0
221729,19750821,   26,    0
221729,19750822,   39,    0
221729,19750823,   36,    0
221729,19750824,   33,    0
221729,19750825,   32,    0
221729,19750826,   32,    0
221729,19750827,   32,    0
221729,19750828,   38,    0
221729,19750829,   21,    0
221729,19750830,   33,    0
221729,19750831,   22,    0
221729,19750901,   33,    0
221729,19750902,   28,    0
221729,19750903,   27,    0
221729,19750904,    8,    0
221729,19750905,   21,    0
221729,19750906,   22,    0
221729,19750907,    9,    0
221729,19750908,    8,    0
221729,19750909,   48,    0
221729,19750910,   50,    0
221729,19750911,   47,    0
221729,19750912,   75,    0
221729,19750913,   65,    0
221729,19750914,   78,    0
221729,19750915,   27,    0
221729,19750916,   39,    0
221729,19750917,   31,    0
221729,19750918,   49,    0
221729,19750919,   18,    0
221729,19750920,   38,    0
221729,19750921,   32,    0
221729,19750922,    9,    0
221729,19750923,   40,    0
221729,19750924,   46,    0
221729,19750925,   81,    0
221729,19750926,   70,    0
221729,19750927,   84,    0
221729,19750928,   45,    0
221729,19750929,   40,    0
221729,19750930,   46,    0
221729,19751001,   41,    0
221729,19751002,   50,    0
221729,19751003,   73,    0
221729,19751004,   50,    0
221729,19751005,   52,    0
221729,19751006,   41,    0
221729,19751007,   27,    0
221729,19751008,   11,    0
221729,19751009,   22,    0
221729,19751010,   20,    0
221729,19751011,   56,    0
221729,19751012,   55,    0
221729,19751013,   28,    0
221729,19751014,   35,    0
221729,19751015,   45,    0
221729,19751016,   24,    0
221729,19751017,   32,    0
221729,19751018,   56,    0
221729,19751019,   39,    0
221729,19751020,   39,    0
221729,19751021,   26,    0
221729,19751022,   28,    0
221729,19751023,   38,    0
221729,19751024,   26,    0
221729,19751025,   19,    0
221729,19751026,   14,    0
221729,19751027,   21,    0
221729,19751028,   14,    0
221729,19751029,   23,    0
221729,19751030,   41,    0
221729,19751031,   43,    0
221729,19751101,   37,    0
221729,19751102,   35,    0
221729,19751103,   39,    0
221729,19751104,    9,    0
221729,19751105,   11,    0
221729,19751106,   32,    0
221729,19751107,   31,    0
221729,19751108,   61,    0
221729,19751109,   49,    0
221729,19751110,   15,    0
221729,19751111,   16,    0
221729,19751112,   30,    0
221729,19751113,   12,    0
221729,19751114,   13,    0
221729,19751115,   48,    0
221729,19751116,   43,    0
221729,19751117,   33,    0
221729,19751118,   52,    0
221729,19751119,   63,    0
221729,19751120,   55,    0
221729,19751121,   34,    0
221729,19751122,   36,    0
221729,19751123,   39,    0
221729,19751124,   15,    0
221729,19751125,   56,    0
221729,19751126,   62,    0
221729,19751127,   76,    0
221729,19751128,   81,    0
221729,19751129,   42,    0
221729,19751130,   34,    0
221729,19751201,   60,    0
221729,19751202,   90,    0
221729,19751203,   33,    0
221729,19751204,   47,    0
221729,19751205,   58,    0
221729,19751206,   44,    0
221729,19751207,   32,    0
